Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	21.695652173913043	8.796910438916687	-inf	46	0.982	0.0005	2.533660994635688e-05
2000	21.02127659574468	9.001156809111716	-inf	94	0.964	0.0005	0.0007165765100055271
3000	21.29	9.737859107627303	21.7	139	0.946	0.0005	0.0009840398364596896
4000	21.39	9.813149341572256	22.32	188	0.9279999999999999	0.0005	0.0012506396240658231
5000	21.05	11.012152378168402	22.32	235	0.91	0.0005	0.001545909179581536
6000	22.85	12.616952880945542	22.85	272	0.892	0.0005	0.0018485960695478652
7000	23.02	12.523561793675153	23.4	321	0.874	0.0005	0.0021289553244908653
8000	23.58	11.844137790485215	24.26	358	0.856	0.0005	0.0024045791890886094
9000	25.37	13.326406117179527	25.69	392	0.838	0.0005	0.0027130431599087187
10000	28.75	15.395697450911408	29.29	423	0.82	0.0005	0.003031997283299764
11000	31.26	20.19634620420238	31.69	452	0.802	0.0005	0.0033583838409847683
12000	33.88	23.04703017744369	34.06	477	0.784	0.0005	0.0036983254220750595
13000	36.11	24.489955083666445	37.39	501	0.766	0.0005	0.0040246880716747705
14000	39.15	27.44826952651114	39.97	524	0.748	0.0005	0.004350046979056464
15000	40.95	27.29922160062444	41.39	549	0.73	0.0005	0.004682079090012444
16000	42.32	28.082336085162147	42.43	568	0.712	0.0005	0.005014951758914523
17000	44.64	29.870225978388582	44.64	590	0.694	0.0005	0.0053655319743686255
18000	48.14	31.817297182507502	48.16	606	0.6759999999999999	0.0005	0.00573412815729777
19000	49.89	31.75181727082719	49.89	624	0.6579999999999999	0.0005	0.0061275097396638655
20000	52.43	33.92204445489688	52.43	638	0.6399999999999999	0.0005	0.006500377853711446
21000	59.69	39.20119768578507	59.72	650	0.622	0.0005	0.006861944397290548
22000	62.92	41.6671765302138	62.92	662	0.604	0.0005	0.007213955720265707
23000	67.73	44.91744761225865	67.73	673	0.586	0.0005	0.007585299015045166
24000	72.63	46.74284009343035	73.17	683	0.5680000000000001	0.0005	0.007945375707414415
25000	76.44	49.00088162472181	77.07	693	0.55	0.0005	0.008327137165599399
26000	81.76	53.144354356789385	82.11	703	0.532	0.0005	0.008693743480576409
27000	86.19	54.836793305225285	86.19	712	0.514	0.0005	0.009073796802096896
28000	91.23	56.284608020310486	91.84	722	0.4959999999999999	0.0005	0.009439842369821337
29000	96.09	57.16416622325563	96.09	731	0.478	0.0005	0.009838616185718112
30000	98.67	56.5254022542078	98.7	740	0.45999999999999996	0.0005	0.010235714846187167
31000	101.92	59.736534884440694	101.92	748	0.44199999999999995	0.0005	0.010606834093729655
32000	104.46	58.418390939840165	104.46	755	0.42399999999999993	0.0005	0.0109987915886773
33000	109.08	59.039254737843706	109.34	762	0.4059999999999999	0.0005	0.011408204502529568
34000	111.61	58.93672793767906	113.14	771	0.3879999999999999	0.0005	0.011794784267743429
35000	117.37	60.09852826816976	117.37	776	0.37	0.0005	0.01220985511938731
36000	119.9	61.57783692206149	120.21	783	0.352	0.0005	0.012654019859102037
37000	125.19	60.78284215138347	125.19	788	0.33399999999999996	0.0005	0.01312446309460534
38000	129.26	60.33234953157386	129.4	794	0.31599999999999995	0.0005	0.013593879540761312
39000	131.72	59.22922927069033	131.72	799	0.29799999999999993	0.0005	0.014035062193870544
40000	138.7	54.964079179042024	138.7	806	0.2799999999999999	0.0005	0.014482701553238763
41000	140.66	53.782751881992795	140.9	811	0.262	0.0005	0.014907790025075278
42000	144.28	53.25731499052501	144.28	817	0.244	0.0005	0.015336145891083612
43000	148.63	50.73966003039437	148.63	822	0.22599999999999998	0.0005	0.015755843255254958
44000	152.92	47.40731589111537	152.92	828	0.20799999999999996	0.0005	0.016133402188618976
45000	156.9	46.292872021511045	156.9	833	0.18999999999999995	0.0005	0.01647374086909824
46000	160.01	45.205418922956575	160.01	839	0.17199999999999993	0.0005	0.0168278345796797
47000	165.38	38.24180435073638	165.38	845	0.15400000000000003	0.0005	0.01718642724884881
48000	167.87	35.92733082209141	167.87	850	0.136	0.0005	0.017534053723017376
49000	170.4	35.12007972656099	170.4	855	0.118	0.0005	0.017907452119721307
50000	171.95	33.11536652371524	171.95	860	0.1	0.0005	0.018294312357902527
51000	176.88	27.66994036856603	176.88	866	0.0984	0.0005	0.018667026294602287
52000	180.16	22.84807212873769	180.16	871	0.09680000000000001	0.0005	0.019045442144076028
53000	180.74	22.971556325160034	180.74	876	0.0952	0.0005	0.019433105919096205
54000	181.89	23.00038912714304	181.89	881	0.0936	0.0005	0.019768565628263686
55000	184.4	15.683749551685656	184.4	886	0.092	0.0005	0.020137614475356207
56000	184.98	15.871975302400138	184.98	891	0.09040000000000001	0.0005	0.020518960091802808
57000	186.24	15.670430753492388	186.24	896	0.0888	0.0005	0.020864278541670906
58000	187.84	15.100807925405848	187.84	901	0.0872	0.0005	0.021198835571606955
59000	189.76	13.47673550975903	189.76	906	0.08560000000000001	0.0005	0.02153734631008572
