Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.680851063829788	9.020323113000133	-inf	47	0.982	0.0005	2.2880037625630697e-05
2000	22.07777777777778	9.732223427331812	-inf	90	0.964	0.0005	0.0006258469820022583
3000	22.51	10.866917686262283	22.62	138	0.946	0.0005	0.0008202835586335924
4000	22.17	11.023660916410664	23.31	182	0.9279999999999999	0.0005	0.001015598177909851
5000	22.52	11.530377270497267	23.31	226	0.91	0.0005	0.001219109296798706
6000	22.69	12.882309575538075	23.49	268	0.892	0.0005	0.0014296608501010472
7000	22.79	12.2158053357116	23.57	315	0.874	0.0005	0.001633578406439887
8000	25.27	16.279960073661115	25.39	345	0.856	0.0005	0.0018506693840026857
9000	26.72	18.18190309071083	26.72	383	0.838	0.0005	0.0020608416530821056
10000	30.51	20.910043041562584	30.64	412	0.82	0.0005	0.0022833793030844793
11000	31.6	21.507673049402626	32.25	438	0.802	0.0005	0.002513259185685052
12000	35.34	24.704744483600717	35.34	465	0.784	0.0005	0.0027424444754918418
13000	37.05	25.265935565500044	37.78	491	0.766	0.0005	0.0029699063963360257
14000	40.04	28.064183579787247	40.46	510	0.748	0.0005	0.003194113704893324
15000	43.41	29.622658557259847	43.41	529	0.73	0.0005	0.003422072132428487
16000	45.62	30.199927152230018	46.8	549	0.712	0.0005	0.0036495310730404323
17000	51.59	35.40454631823433	51.71	562	0.694	0.0005	0.003890599211057027
18000	52.51	36.20787069132898	54.69	582	0.6759999999999999	0.0005	0.004133202168676588
19000	57.24	41.2036697394783	57.24	597	0.6579999999999999	0.0005	0.004376308388180203
20000	59.75	45.25756842783315	59.93	610	0.6399999999999999	0.0005	0.004628633393181695
21000	63.15	47.40366547008785	63.15	623	0.622	0.0005	0.004867229395442539
22000	64.36	50.40982443928961	64.42	640	0.604	0.0005	0.00512161910533905
23000	67.01	51.72378466431087	67.76	652	0.586	0.0005	0.005369156334135267
24000	69.06	52.31822244686836	69.4	664	0.5680000000000001	0.0005	0.005624649524688721
25000	72.25	54.575154603537314	72.58	674	0.55	0.0005	0.005884380473030938
26000	79.26	56.656088816648825	79.41	684	0.532	0.0005	0.006138889325989617
27000	82.5	56.52954979477548	82.5	694	0.514	0.0005	0.0064113177193535695
28000	85.83	57.84964217694004	86.04	701	0.4959999999999999	0.0005	0.006689096556769477
29000	89.07	58.739808477726584	89.4	712	0.478	0.0005	0.006999524897999234
30000	93.06	60.22836873102243	93.06	720	0.45999999999999996	0.0005	0.007341403961181641
31000	98.45	61.7246101648281	98.45	728	0.44199999999999995	0.0005	0.007640686498747932
32000	103.96	63.07074123553647	103.96	733	0.42399999999999993	0.0005	0.007922118902206421
33000	109.65	61.899495151414605	110.28	740	0.4059999999999999	0.0005	0.008206767837206523
34000	113.98	63.18654603632012	113.98	745	0.3879999999999999	0.0005	0.008494199050797357
35000	121.04	62.085412135219016	121.04	752	0.37	0.0005	0.008782418966293335
36000	123.18	62.96115945565171	123.72	758	0.352	0.0005	0.00912232604291704
37000	128.21	63.50721140154085	128.21	764	0.33399999999999996	0.0005	0.009469231896930271
38000	134.41	61.847893254338096	134.41	770	0.31599999999999995	0.0005	0.00979986031850179
39000	137.95	62.30222708699906	137.95	775	0.29799999999999993	0.0005	0.010127813286251492
40000	139.95	62.28264204415224	140.82	781	0.2799999999999999	0.0005	0.010422267251544529
41000	146.33	59.7518292607013	146.33	787	0.262	0.0005	0.010732079148292542
42000	152.44	57.27553055188577	152.44	792	0.244	0.0005	0.011097795102331373
43000	154.57	56.385681693139084	154.88	797	0.22599999999999998	0.0005	0.011449736489189996
44000	157.9	55.111069668443186	157.9	802	0.20799999999999996	0.0005	0.011769824888971117
45000	162.29	52.40444542212043	162.29	807	0.18999999999999995	0.0005	0.012171073026127285
46000	168.47	47.70565060870672	168.47	812	0.17199999999999993	0.0005	0.012555356555514865
47000	172.42	43.622741775363	172.42	818	0.15400000000000003	0.0005	0.013013925353686015
48000	177.17	39.422088985745035	177.17	823	0.136	0.0005	0.013448485136032105
49000	180.05	35.640812280305845	180.05	828	0.118	0.0005	0.013960378964742025
50000	181.26	35.487355494598354	181.26	833	0.1	0.0005	0.014437924027442933
51000	182.65	35.5556957462514	182.65	838	0.0984	0.0005	0.014920834170447456
52000	184.52	34.21388022425986	184.52	843	0.09680000000000001	0.0005	0.0153838535812166
53000	186.23	32.36073392245609	186.23	848	0.0952	0.0005	0.0157639827993181
54000	188.12	30.358616569270733	188.12	853	0.0936	0.0005	0.016226841343773737
55000	190.99	26.388442545932868	190.99	858	0.092	0.0005	0.016609059241082934
56000	193.64	18.960759478459718	193.64	863	0.09040000000000001	0.0005	0.016961435874303182
57000	194.7	17.731610191970724	194.7	868	0.0888	0.0005	0.017352560228771633
58000	195.04	17.646484069071672	195.04	873	0.0872	0.0005	0.017758721974160938
59000	195.75	17.297037318569906	195.75	878	0.08560000000000001	0.0005	0.018133599625693428
