Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-20.4	1.2	-inf	10	0.991	0.0001	0.006661473645104303
20000	-20.35	1.0136567466356647	-inf	20	0.982	0.0001	0.012234631114535861
30000	-20.2	1.1372481406154653	-inf	30	0.973	0.0001	0.018198334508472018
40000	-20.285714285714285	1.0067797386602846	-inf	42	0.964	0.0001	0.023771985239452786
50000	-20.26923076923077	0.9828409491677415	-inf	52	0.955	0.0001	0.029361568954255846
60000	-20.285714285714285	0.933138949631687	-inf	63	0.946	0.0001	0.057979699505700005
70000	-20.27027027027027	0.9342911360780327	-inf	74	0.9369999999999999	0.0001	0.08854470570882161
80000	-20.294117647058822	0.9433797739637392	-inf	85	0.9279999999999999	0.0001	0.11763926512665218
90000	-20.322916666666668	0.9184995879452292	-inf	96	0.919	0.0001	0.1460941286219491
100000	-20.31	0.891010662113535	-20.28	106	0.91	0.0001	0.1746343998776542
110000	-20.3	0.8888194417315589	-20.28	117	0.901	0.0001	0.20319913453525967
120000	-20.3	0.8660254037844386	-20.28	127	0.892	0.0001	0.23267432570457458
130000	-20.24	0.9178235124467011	-20.24	138	0.883	0.0001	0.26138029959466724
140000	-20.18	0.9421252570651101	-20.18	148	0.874	0.0001	0.2900742255979114
150000	-20.2	0.938083151964686	-20.17	159	0.865	0.0001	0.3188590337832769
160000	-20.19	0.9454628496138809	-20.17	169	0.856	0.0001	0.34768985827763876
170000	-20.17	0.9597395480024776	-20.17	180	0.847	0.0001	0.37655636231104533
180000	-20.15	0.9526279441628822	-20.14	191	0.838	0.0001	0.4055193370580673
190000	-20.21	0.9087904048789247	-20.13	202	0.829	0.0001	0.4345098721318775
200000	-20.21	0.9197282207261012	-20.13	213	0.82	0.0001	0.4636114655600654
210000	-20.23	0.9257969539807313	-20.13	224	0.8109999999999999	0.0001	0.4932987086640464
220000	-20.28	0.8840814442120137	-20.13	235	0.802	0.0001	0.522477026383082
230000	-20.29	0.8865100112237877	-20.13	245	0.7929999999999999	0.0001	0.5516627410385344
240000	-20.35	0.8529361054615991	-20.13	256	0.784	0.0001	0.5817778905895021
250000	-20.31	0.8910106621135349	-20.13	267	0.775	0.0001	0.6120770444472631
260000	-20.29	0.9087904048789248	-20.13	277	0.766	0.0001	0.6417726977666219
270000	-20.34	0.885663593019381	-20.13	288	0.757	0.0001	0.6713333053059048
280000	-20.32	0.8930845424706442	-20.13	298	0.748	0.0001	0.7010056763225132
290000	-20.29	0.8865100112237877	-20.13	308	0.739	0.0001	0.7306698971324497
300000	-20.23	1.0085137579626766	-20.13	319	0.73	0.0001	0.7604537340667513
310000	-20.17	1.0682228231974826	-20.13	330	0.721	0.0001	0.7902998828225666
320000	-20.18	1.0618851161966627	-20.13	341	0.712	0.0001	0.8200654204024209
330000	-20.13	1.0550355444249262	-20.13	351	0.703	0.0001	0.8506102626191245
340000	-20.17	1.0300970828033638	-20.13	362	0.694	0.0001	0.8804496930042902
350000	-20.19	1.0362914647916386	-20.13	373	0.685	0.0001	0.9103539974159665
360000	-20.21	0.9828021163998376	-20.13	385	0.6759999999999999	0.0001	0.9404073628452089
370000	-20.15	1.0805091392487154	-20.13	395	0.667	0.0001	0.9704546774758233
380000	-20.12	1.088852607105296	-20.12	405	0.6579999999999999	0.0001	1.000571888420317
390000	-20.17	0.9597395480024776	-20.12	415	0.649	0.0001	1.0306717561350929
400000	-20.14	0.9593747964169165	-20.12	424	0.6399999999999999	0.0001	1.0609172248178058
410000	-20.16	0.9871170143402452	-20.1	434	0.631	0.0001	1.0916062944465212
420000	-20.09	0.9909086738948247	-20.07	443	0.622	0.0001	1.1232814562982982
430000	-19.98	1.1133732527773423	-19.98	452	0.613	0.0001	1.1535523419247733
440000	-19.87	1.1887388274974449	-19.86	460	0.604	0.0001	1.1840449915329616
450000	-19.78	1.2213107712617617	-19.76	470	0.595	0.0001	1.2145634930663638
460000	-19.69	1.3014991356124674	-19.69	478	0.586	0.0001	1.2450702077812619
470000	-19.51	1.4317471843869642	-19.51	486	0.577	0.0001	1.275739456680086
480000	-19.4	1.47648230602334	-19.4	493	0.5680000000000001	0.0001	1.306436861289872
490000	-19.37	1.4605136082899055	-19.37	502	0.5589999999999999	0.0001	1.33712701426612
500000	-19.33	1.4768547660484426	-19.33	510	0.55	0.0001	1.36789720290237
510000	-19.17	1.5300653580811505	-19.17	517	0.5409999999999999	0.0001	1.3993870821264056
520000	-19.12	1.5509996776273038	-19.12	525	0.532	0.0001	1.430339071088367
530000	-18.95	1.6755596080116042	-18.95	531	0.5229999999999999	0.0001	1.461273019777404
540000	-18.86	1.6794046564184586	-18.86	539	0.514	0.0001	1.4922696769899793
550000	-18.81	1.6952580924449232	-18.81	545	0.5049999999999999	0.0001	1.523348604771826
560000	-18.74	1.7240649639732257	-18.72	553	0.4959999999999999	0.0001	1.5544635789924197
570000	-18.67	1.7553062410872924	-18.67	560	0.487	0.0001	1.5855668252044255
580000	-18.57	1.7958563416932878	-18.57	566	0.478	0.0001	1.6185017185741
590000	-18.49	1.824801359052541	-18.49	574	0.469	0.0001	1.6508847053845723
600000	-18.45	1.8459414941974734	-18.42	581	0.45999999999999996	0.0001	1.6833641727103128
